NMEA message,PGHP time stamp
"!BSVDM,1,1,,A,13@nf<001f0qk7LP43Wr`8EV0@Nk,0*23","$PGHP,1,2018,11,19,11,45,52,572,219,,2190047,1,*15"
"!BSVDM,1,1,,A,33@nf<0Oi`0qkl6P45?2v2cV0101,0*60","$PGHP,1,2018,11,19,12,3,52,574,219,,2190048,1,*2D"
"!BSVDM,1,1,,A,33@nf<001b0qkufP45H30Rej013@,0*14","$PGHP,1,2018,11,19,12,3,59,391,219,,2190048,1,*2B"
"!BSVDM,1,1,,A,33@nf<001b0ql:`P45QC5R`:0000,0*11","$PGHP,1,2018,11,19,12,4,6,567,219,,2190047,1,*16"
"!BSVDM,1,1,,A,13@nf<001e0qmE8P46d35RaV00S2,0*78","$PGHP,1,2018,11,19,12,4,52,571,219,,2190047,1,*20"
"!BSVDM,1,1,,A,13@nf<001f0qnnNP48830ReT0D13,0*63","$PGHP,1,2018,11,19,12,5,52,350,219,,2190047,1,*24"
"!BSVDM,1,1,,A,13@nf<001d0qpI:P49aC32cT0@Nc,0*4A","$PGHP,1,2018,11,19,12,6,52,347,219,,2190047,1,*21"
"!BSVDM,1,1,,A,33@nf<0PAe0qqsfP4;5S5RcT011Q,0*22","$PGHP,1,2018,11,19,12,7,52,344,219,,2190048,1,*2C"
"!BSVDM,1,1,,A,33@nf<001e0qr7@P4;=C32aj012h,0*2B","$PGHP,1,2018,11,19,12,7,59,333,219,,2190048,1,*27"
"!BSVDM,1,1,,A,33@nf<001e0qrDBP4;M30Rd:0000,0*37","$PGHP,1,2018,11,19,12,8,6,446,219,,2190047,1,*18"
"!BSVDM,2,1,2,B,53@nf<023InDuPTG:20lE8<4p@T60UJ2222222155hj8740Ht8j1C4jC,0*4C!BSVDM,2,2,2,B,QklcR1C4jCQhSlP,2*52","$PGHP,1,2018,11,19,12,8,13,342,219,,2190047,1,*2F"
"!BSVDM,1,1,,A,13@nf<001e0qsNFP4<RC32cT08Nc,0*7D","$PGHP,1,2018,11,19,12,8,52,342,219,,2190048,1,*25"
"!BSVDM,1,1,,A,33@nf<0PAW0qtvNP4=BSQ2uT013A,0*49","$PGHP,1,2018,11,19,12,9,52,342,219,,2190047,1,*2B"
"!BSVDM,1,1,,A,33@nf<0OiW0qu;BP4=BkNRwl0100,0*31","$PGHP,1,2018,11,19,12,9,59,518,219,,2190047,1,*29"
"!BSVDM,1,1,,A,33@nf<001W0quDrP4=CkQ3080000,0*34","$PGHP,1,2018,11,19,12,10,6,351,219,,2190048,1,*2F"
"!BSVDM,1,1,,A,13@nf<001W0qvNNP4=?SSS1T00SP,0*4B","$PGHP,1,2018,11,19,12,10,52,358,219,,2190047,1,*18"
"!BSVDM,1,1,,A,13@nf<001W0qwwjP4=<CNRwV0L19,0*6B","$PGHP,1,2018,11,19,12,11,52,936,219,,2190047,1,*1B"
"!BSVDM,1,1,,A,13@nf<001`0r1OdP4=5kV2uV0HO1,0*06","$PGHP,1,2018,11,19,12,12,52,936,219,,2190048,1,*17"
"!BSVDM,1,1,,A,13@nf<001k0r1G6P477rA`5T0HNO,0*3E","$PGHP,1,2018,11,19,12,36,52,79,219,,2190047,1,*2C"
"!BSVDM,1,1,,A,13@nf<001m0qwdJP463:?83T0D1I,0*3A","$PGHP,1,2018,11,19,12,37,52,76,219,,2190048,1,*2D"
"!BSVDM,2,1,4,A,53@nf<023InDuPTG:20lE8<4p@T60UJ2222222155hj8740Ht8j1C4jC,0*49!BSVDM,2,2,4,A,QklcR1C4jCQhSlP,2*57","$PGHP,1,2018,11,19,12,38,17,551,219,,2190047,1,*1C"
"!BSVDM,1,1,,A,13@nf<001m0quwbP45;JA`3T0@NO,0*23","$PGHP,1,2018,11,19,12,38,52,74,219,,2190047,1,*2F"
"!BSVDM,1,1,,A,13@nf<001l0qtD0P44FbP`AT0<1F,0*7F","$PGHP,1,2018,11,19,12,39,52,71,219,,2190047,1,*2B"
"!BSVDM,1,1,,A,13@nf<001l0qr`tP445:N8?T08NO,0*78","$PGHP,1,2018,11,19,12,40,52,84,219,,2190047,1,*2F"
"!BSVDM,1,1,,A,13@nf<001k0qpvBP43t:S8=T05RT,0*0E","$PGHP,1,2018,11,19,12,41,52,82,219,,2190047,1,*28"
"!BSVDM,1,1,,A,13@nf<001i0qoDrP43grP`=T00So,0*2E","$PGHP,1,2018,11,19,12,42,52,79,219,,2190047,1,*2F"
"!BSVDM,1,1,,A,13@nf<001g0qmbfP43`bN8;V0<1G,0*03","$PGHP,1,2018,11,19,12,43,53,278,219,,2190048,1,*13"
"!BSVDM,2,1,9,B,53@nf<023InDuPTG:20lE8<4p@T60UJ2222222155hj8740Ht8j1C4jC,0*47!BSVDM,2,2,9,B,QklcR1C4jCQhSlP,2*59","$PGHP,1,2018,11,19,12,44,18,503,219,,2190048,1,*10"
"!BSVDM,1,1,,A,13@nf<001g0ql3pP43U:S8=V08O<,0*32","$PGHP,1,2018,11,19,12,44,53,275,219,,2190047,1,*16"
"!BSVDM,1,1,,A,13@nf<001S0qjSbP43Ir`8CV05Rl,0*2B","$PGHP,1,2018,11,19,12,45,53,272,219,,2190047,1,*10"
"!BSVDM,1,1,,A,H3@nhbhp4tlT000000000000000,2*32","$PGHP,1,2018,11,19,11,4,3,612,219,,2190047,1,*11"
"!BSVDM,1,1,,A,H3@nhblUC=D4gUTH@4jkom000000,0*0E","$PGHP,1,2018,11,19,11,4,15,219,219,,2190047,1,*29"
"!BSVDM,1,1,,A,B3@nhbh008>L2d`15G?Q3woUoP06,0*14","$PGHP,1,2018,11,19,11,5,47,389,219,,2190047,1,*27"
"!BSVDM,1,1,,B,B3@nhbh008>L2V`15GCQ3wo5oP06,0*39","$PGHP,1,2018,11,19,11,8,46,951,219,,2190047,1,*24"
"!BSVDM,1,1,,B,H3@nhblUC=D4gUTH@4jkom000000,0*0D","$PGHP,1,2018,11,19,11,10,15,232,219,,2190047,1,*15"
"!BSVDM,1,1,,B,B3@nhbh008>L2b815GWQ3wp5oP06,0*5E","$PGHP,1,2018,11,19,11,14,48,357,219,,2190047,1,*1B"
"!BSVDM,1,1,,A,B3@nhbh008>L2c815GgQ3wo5oP06,0*73","$PGHP,1,2018,11,19,11,17,46,650,219,,2190047,1,*14"
"!BSVDM,1,1,,A,H3@nhbhp4tlT000000000000000,2*32","$PGHP,1,2018,11,19,11,28,2,836,219,,2190047,1,*26"
